"Q38A","Q94","Q101","Q1","URBRUR","REGION","corruption_presidency","education","gender","age_group","urban_rural","region"
2,0,2,34,2,653,"Most","No formal schooling","Female","35-44","Rural","653"
1,8,1,55,1,636,"Some","University completed","Male","55+","Urban","636"
2,5,1,45,1,636,"Most","Secondary school completed","Male","45-54","Urban","636"
3,9,1,48,1,623,"All","Post-graduate","Male","45-54","Urban","623"
2,0,2,19,2,653,"Most","No formal schooling","Female","18-24","Rural","653"
2,8,1,32,1,636,"Most","University completed","Male","25-34","Urban","636"
2,7,2,20,1,636,"Most","Some university","Female","18-24","Urban","636"
2,8,2,42,1,636,"Most","University completed","Female","35-44","Urban","636"
1,7,2,39,1,636,"Some","Some university","Female","35-44","Urban","636"
1,2,1,18,2,648,"Some","Some primary schooling","Male","18-24","Rural","648"
2,4,2,28,2,648,"Most","Some secondary schooling","Female","25-34","Rural","648"
3,6,2,29,1,636,"All","Post-secondary qualifications","Female","25-34","Urban","636"
2,5,2,23,2,638,"Most","Secondary school completed","Female","18-24","Rural","638"
1,5,1,35,2,638,"Some","Secondary school completed","Male","35-44","Rural","638"
1,6,1,32,2,638,"Some","Post-secondary qualifications","Male","25-34","Rural","638"
2,7,1,37,2,638,"Most","Some university","Male","35-44","Rural","638"
2,3,2,30,2,638,"Most","Primary school completed","Female","25-34","Rural","638"
1,8,1,36,2,638,"Some","University completed","Male","35-44","Rural","638"
1,6,2,30,2,638,"Some","Post-secondary qualifications","Female","25-34","Rural","638"
2,3,2,46,2,648,"Most","Primary school completed","Female","45-54","Rural","648"
2,5,2,60,1,648,"Most","Secondary school completed","Female","55+","Urban","648"
1,8,1,32,1,648,"Some","University completed","Male","25-34","Urban","648"
2,5,1,32,1,648,"Most","Secondary school completed","Male","25-34","Urban","648"
2,5,1,21,2,648,"Most","Secondary school completed","Male","18-24","Rural","648"
1,5,2,26,1,648,"Some","Secondary school completed","Female","25-34","Urban","648"
3,5,1,35,1,648,"All","Secondary school completed","Male","35-44","Urban","648"
2,5,2,22,1,648,"Most","Secondary school completed","Female","18-24","Urban","648"
3,2,1,76,2,648,"All","Some primary schooling","Male","55+","Rural","648"
3,8,1,43,1,629,"All","University completed","Male","35-44","Urban","629"
2,5,1,55,1,629,"Most","Secondary school completed","Male","55+","Urban","629"
2,5,1,39,1,629,"Most","Secondary school completed","Male","35-44","Urban","629"
2,0,2,20,1,629,"Most","No formal schooling","Female","18-24","Urban","629"
2,5,1,19,1,648,"Most","Secondary school completed","Male","18-24","Urban","648"
1,4,2,21,2,656,"Some","Some secondary schooling","Female","18-24","Rural","656"
1,0,1,56,2,656,"Some","No formal schooling","Male","55+","Rural","656"
2,2,1,18,2,656,"Most","Some primary schooling","Male","18-24","Rural","656"
3,8,1,21,1,629,"All","University completed","Male","18-24","Urban","629"
1,1,1,43,2,656,"Some","Informal schooling only","Male","35-44","Rural","656"
3,5,2,28,1,648,"All","Secondary school completed","Female","25-34","Urban","648"
3,5,2,52,1,648,"All","Secondary school completed","Female","45-54","Urban","648"
3,5,2,36,2,652,"All","Secondary school completed","Female","35-44","Rural","652"
1,2,2,32,1,629,"Some","Some primary schooling","Female","25-34","Urban","629"
1,3,2,34,2,652,"Some","Primary school completed","Female","35-44","Rural","652"
1,3,2,25,1,629,"Some","Primary school completed","Female","25-34","Urban","629"
2,8,2,23,1,629,"Most","University completed","Female","18-24","Urban","629"
3,5,1,35,2,652,"All","Secondary school completed","Male","35-44","Rural","652"
2,5,1,18,2,652,"Most","Secondary school completed","Male","18-24","Rural","652"
2,0,1,49,2,656,"Most","No formal schooling","Male","45-54","Rural","656"
2,5,2,22,1,648,"Most","Secondary school completed","Female","18-24","Urban","648"
1,0,2,35,2,656,"Some","No formal schooling","Female","35-44","Rural","656"
2,0,2,20,2,656,"Most","No formal schooling","Female","18-24","Rural","656"
2,1,2,18,2,656,"Most","Informal schooling only","Female","18-24","Rural","656"
1,6,1,40,1,648,"Some","Post-secondary qualifications","Male","35-44","Urban","648"
3,8,1,35,2,652,"All","University completed","Male","35-44","Rural","652"
3,5,2,34,2,652,"All","Secondary school completed","Female","35-44","Rural","652"
2,6,1,58,1,648,"Most","Post-secondary qualifications","Male","55+","Urban","648"
3,2,2,28,2,648,"All","Some primary schooling","Female","25-34","Rural","648"
0,7,1,46,2,652,"None","Some university","Male","45-54","Rural","652"
3,4,2,36,2,652,"All","Some secondary schooling","Female","35-44","Rural","652"
2,4,2,26,1,656,"Most","Some secondary schooling","Female","25-34","Urban","656"
2,8,1,46,1,656,"Most","University completed","Male","45-54","Urban","656"
2,6,1,22,1,656,"Most","Post-secondary qualifications","Male","18-24","Urban","656"
1,6,1,45,1,656,"Some","Post-secondary qualifications","Male","45-54","Urban","656"
1,5,1,30,1,629,"Some","Secondary school completed","Male","25-34","Urban","629"
1,2,1,34,1,629,"Some","Some primary schooling","Male","35-44","Urban","629"
2,3,1,33,1,629,"Most","Primary school completed","Male","25-34","Urban","629"
3,2,2,34,1,629,"All","Some primary schooling","Female","35-44","Urban","629"
2,4,1,28,1,656,"Most","Some secondary schooling","Male","25-34","Urban","656"
1,5,2,34,1,656,"Some","Secondary school completed","Female","35-44","Urban","656"
3,4,2,23,1,656,"All","Some secondary schooling","Female","18-24","Urban","656"
2,3,2,32,1,656,"Most","Primary school completed","Female","25-34","Urban","656"
1,5,2,23,1,629,"Some","Secondary school completed","Female","18-24","Urban","629"
2,5,2,19,1,629,"Most","Secondary school completed","Female","18-24","Urban","629"
1,5,1,41,1,629,"Some","Secondary school completed","Male","35-44","Urban","629"
3,6,1,42,1,629,"All","Post-secondary qualifications","Male","35-44","Urban","629"
1,5,1,45,1,629,"Some","Secondary school completed","Male","45-54","Urban","629"
2,4,1,45,1,629,"Most","Some secondary schooling","Male","45-54","Urban","629"
1,5,2,47,1,629,"Some","Secondary school completed","Female","45-54","Urban","629"
2,5,2,18,2,626,"Most","Secondary school completed","Female","18-24","Rural","626"
1,3,1,50,2,626,"Some","Primary school completed","Male","45-54","Rural","626"
1,8,1,37,2,626,"Some","University completed","Male","35-44","Rural","626"
1,6,1,25,2,626,"Some","Post-secondary qualifications","Male","25-34","Rural","626"
1,5,1,26,1,629,"Some","Secondary school completed","Male","25-34","Urban","629"
1,3,2,25,1,629,"Some","Primary school completed","Female","25-34","Urban","629"
2,4,2,18,1,629,"Most","Some secondary schooling","Female","18-24","Urban","629"
2,6,2,35,1,629,"Most","Post-secondary qualifications","Female","35-44","Urban","629"
2,3,2,75,2,626,"Most","Primary school completed","Female","55+","Rural","626"
1,5,1,47,2,626,"Some","Secondary school completed","Male","45-54","Rural","626"
1,4,2,20,2,626,"Some","Some secondary schooling","Female","18-24","Rural","626"
1,5,2,31,2,626,"Some","Secondary school completed","Female","25-34","Rural","626"
2,1,2,19,2,656,"Most","Informal schooling only","Female","18-24","Rural","656"
2,0,1,29,2,656,"Most","No formal schooling","Male","25-34","Rural","656"
0,5,1,20,2,656,"None","Secondary school completed","Male","18-24","Rural","656"
2,1,1,53,2,656,"Most","Informal schooling only","Male","45-54","Rural","656"
2,5,2,46,1,648,"Most","Secondary school completed","Female","45-54","Urban","648"
2,0,2,59,2,652,"Most","No formal schooling","Female","55+","Rural","652"
1,1,1,25,2,652,"Some","Informal schooling only","Male","25-34","Rural","652"
3,5,1,53,2,652,"All","Secondary school completed","Male","45-54","Rural","652"
2,3,1,39,1,648,"Most","Primary school completed","Male","35-44","Urban","648"
3,5,1,27,2,652,"All","Secondary school completed","Male","25-34","Rural","652"
3,5,1,51,2,652,"All","Secondary school completed","Male","45-54","Rural","652"
2,5,1,33,2,656,"Most","Secondary school completed","Male","25-34","Rural","656"
2,0,2,26,2,656,"Most","No formal schooling","Female","25-34","Rural","656"
2,0,2,22,2,656,"Most","No formal schooling","Female","18-24","Rural","656"
2,5,2,30,2,648,"Most","Secondary school completed","Female","25-34","Rural","648"
2,4,2,19,2,648,"Most","Some secondary schooling","Female","18-24","Rural","648"
0,0,2,18,2,656,"None","No formal schooling","Female","18-24","Rural","656"
3,3,2,40,2,652,"All","Primary school completed","Female","35-44","Rural","652"
2,5,2,29,2,652,"Most","Secondary school completed","Female","25-34","Rural","652"
1,4,2,28,2,652,"Some","Some secondary schooling","Female","25-34","Rural","652"
2,0,2,24,2,656,"Most","No formal schooling","Female","25-34","Rural","656"
1,4,1,19,2,656,"Some","Some secondary schooling","Male","18-24","Rural","656"
1,0,1,45,2,656,"Some","No formal schooling","Male","45-54","Rural","656"
1,6,1,41,2,648,"Some","Post-secondary qualifications","Male","35-44","Rural","648"
2,1,1,40,2,656,"Most","Informal schooling only","Male","35-44","Rural","656"
2,5,2,36,2,626,"Most","Secondary school completed","Female","35-44","Rural","626"
0,4,2,18,2,656,"None","Some secondary schooling","Female","18-24","Rural","656"
2,2,1,19,2,656,"Most","Some primary schooling","Male","18-24","Rural","656"
1,3,2,27,2,648,"Some","Primary school completed","Female","25-34","Rural","648"
3,5,1,27,2,626,"All","Secondary school completed","Male","25-34","Rural","626"
2,0,2,38,2,656,"Most","No formal schooling","Female","35-44","Rural","656"
1,6,1,58,2,626,"Some","Post-secondary qualifications","Male","55+","Rural","626"
1,5,1,42,2,626,"Some","Secondary school completed","Male","35-44","Rural","626"
2,5,1,45,2,648,"Most","Secondary school completed","Male","45-54","Rural","648"
2,0,2,22,2,656,"Most","No formal schooling","Female","18-24","Rural","656"
3,5,1,25,2,652,"All","Secondary school completed","Male","25-34","Rural","652"
1,8,1,35,2,652,"Some","University completed","Male","35-44","Rural","652"
2,5,1,42,2,652,"Most","Secondary school completed","Male","35-44","Rural","652"
1,5,2,30,2,652,"Some","Secondary school completed","Female","25-34","Rural","652"
1,6,2,28,2,626,"Some","Post-secondary qualifications","Female","25-34","Rural","626"
1,6,1,21,2,626,"Some","Post-secondary qualifications","Male","18-24","Rural","626"
2,5,2,47,2,626,"Most","Secondary school completed","Female","45-54","Rural","626"
1,3,2,32,2,626,"Some","Primary school completed","Female","25-34","Rural","626"
2,3,1,43,2,629,"Most","Primary school completed","Male","35-44","Rural","629"
2,4,2,35,2,652,"Most","Some secondary schooling","Female","35-44","Rural","652"
1,5,2,35,2,652,"Some","Secondary school completed","Female","35-44","Rural","652"
1,5,2,41,2,652,"Some","Secondary school completed","Female","35-44","Rural","652"
3,0,2,54,2,629,"All","No formal schooling","Female","55+","Rural","629"
1,0,1,45,2,629,"Some","No formal schooling","Male","45-54","Rural","629"
3,5,1,44,2,652,"All","Secondary school completed","Male","45-54","Rural","652"
3,5,2,45,1,648,"All","Secondary school completed","Female","45-54","Urban","648"
1,5,1,56,2,629,"Some","Secondary school completed","Male","55+","Rural","629"
1,3,2,35,2,629,"Some","Primary school completed","Female","35-44","Rural","629"
2,2,2,28,2,629,"Most","Some primary schooling","Female","25-34","Rural","629"
2,3,2,27,2,629,"Most","Primary school completed","Female","25-34","Rural","629"
2,5,1,38,1,648,"Most","Secondary school completed","Male","35-44","Urban","648"
2,5,1,29,1,649,"Most","Secondary school completed","Male","25-34","Urban","649"
2,3,2,31,1,649,"Most","Primary school completed","Female","25-34","Urban","649"
1,5,1,53,1,649,"Some","Secondary school completed","Male","45-54","Urban","649"
1,6,1,34,2,652,"Some","Post-secondary qualifications","Male","35-44","Rural","652"
3,8,1,40,2,652,"All","University completed","Male","35-44","Rural","652"
1,5,1,25,2,652,"Some","Secondary school completed","Male","25-34","Rural","652"
2,3,1,28,2,652,"Most","Primary school completed","Male","25-34","Rural","652"
2,6,2,23,1,649,"Most","Post-secondary qualifications","Female","18-24","Urban","649"
2,5,2,22,2,652,"Most","Secondary school completed","Female","18-24","Rural","652"
1,8,1,78,1,649,"Some","University completed","Male","55+","Urban","649"
1,5,1,35,1,649,"Some","Secondary school completed","Male","35-44","Urban","649"
2,3,2,38,1,649,"Most","Primary school completed","Female","35-44","Urban","649"
2,5,2,43,2,652,"Most","Secondary school completed","Female","35-44","Rural","652"
1,4,2,21,2,652,"Some","Some secondary schooling","Female","18-24","Rural","652"
1,5,1,55,1,649,"Some","Secondary school completed","Male","55+","Urban","649"
1,6,1,40,2,626,"Some","Post-secondary qualifications","Male","35-44","Rural","626"
2,7,2,50,2,626,"Most","Some university","Female","45-54","Rural","626"
1,5,1,23,1,649,"Some","Secondary school completed","Male","18-24","Urban","649"
1,5,1,25,2,626,"Some","Secondary school completed","Male","25-34","Rural","626"
1,7,1,21,2,626,"Some","Some university","Male","18-24","Rural","626"
3,5,2,48,2,652,"All","Secondary school completed","Female","45-54","Rural","652"
2,3,2,63,1,649,"Most","Primary school completed","Female","55+","Urban","649"
3,3,2,32,2,648,"All","Primary school completed","Female","25-34","Rural","648"
1,3,2,32,2,626,"Some","Primary school completed","Female","25-34","Rural","626"
1,5,2,18,2,626,"Some","Secondary school completed","Female","18-24","Rural","626"
1,5,2,35,2,626,"Some","Secondary school completed","Female","35-44","Rural","626"
1,4,1,23,2,626,"Some","Some secondary schooling","Male","18-24","Rural","626"
1,4,1,20,1,652,"Some","Some secondary schooling","Male","18-24","Urban","652"
1,5,2,29,1,652,"Some","Secondary school completed","Female","25-34","Urban","652"
2,3,2,47,1,649,"Most","Primary school completed","Female","45-54","Urban","649"
2,8,2,45,1,652,"Most","University completed","Female","45-54","Urban","652"
2,8,1,25,1,652,"Most","University completed","Male","25-34","Urban","652"
1,6,1,67,2,629,"Some","Post-secondary qualifications","Male","55+","Rural","629"
3,6,1,65,2,629,"All","Post-secondary qualifications","Male","55+","Rural","629"
3,6,2,44,1,649,"All","Post-secondary qualifications","Female","45-54","Urban","649"
1,3,1,46,1,649,"Some","Primary school completed","Male","45-54","Urban","649"
3,3,2,58,2,629,"All","Primary school completed","Female","55+","Rural","629"
1,0,2,30,2,629,"Some","No formal schooling","Female","25-34","Rural","629"
1,4,2,24,1,652,"Some","Some secondary schooling","Female","25-34","Urban","652"
3,7,1,36,1,652,"All","Some university","Male","35-44","Urban","652"
3,5,2,30,2,629,"All","Secondary school completed","Female","25-34","Rural","629"
2,8,1,32,1,652,"Most","University completed","Male","25-34","Urban","652"
2,5,1,40,1,649,"Most","Secondary school completed","Male","35-44","Urban","649"
3,4,2,23,1,652,"All","Some secondary schooling","Female","18-24","Urban","652"
3,6,1,28,1,649,"All","Post-secondary qualifications","Male","25-34","Urban","649"
2,4,1,63,2,629,"Most","Some secondary schooling","Male","55+","Rural","629"
3,2,2,34,2,629,"All","Some primary schooling","Female","35-44","Rural","629"
3,3,1,69,2,648,"All","Primary school completed","Male","55+","Rural","648"
3,5,2,38,1,649,"All","Secondary school completed","Female","35-44","Urban","649"
2,5,2,57,1,649,"Most","Secondary school completed","Female","55+","Urban","649"
2,3,1,35,2,629,"Most","Primary school completed","Male","35-44","Rural","629"
2,5,1,58,1,649,"Most","Secondary school completed","Male","55+","Urban","649"
3,5,2,25,2,629,"All","Secondary school completed","Female","25-34","Rural","629"
1,3,1,30,2,629,"Some","Primary school completed","Male","25-34","Rural","629"
2,6,2,48,2,629,"Most","Post-secondary qualifications","Female","45-54","Rural","629"
2,5,1,25,2,629,"Most","Secondary school completed","Male","25-34","Rural","629"
1,5,2,29,2,629,"Some","Secondary school completed","Female","25-34","Rural","629"
2,8,1,39,2,629,"Most","University completed","Male","35-44","Rural","629"
3,4,2,32,2,629,"All","Some secondary schooling","Female","25-34","Rural","629"
1,0,2,48,2,640,"Some","No formal schooling","Female","45-54","Rural","640"
1,5,2,73,1,649,"Some","Secondary school completed","Female","55+","Urban","649"
3,8,2,64,1,649,"All","University completed","Female","55+","Urban","649"
1,6,1,29,2,626,"Some","Post-secondary qualifications","Male","25-34","Rural","626"
1,3,1,44,2,626,"Some","Primary school completed","Male","45-54","Rural","626"
1,3,1,43,2,626,"Some","Primary school completed","Male","35-44","Rural","626"
2,5,1,26,1,649,"Most","Secondary school completed","Male","25-34","Urban","649"
1,5,2,22,2,626,"Some","Secondary school completed","Female","18-24","Rural","626"
1,5,1,62,1,652,"Some","Secondary school completed","Male","55+","Urban","652"
1,5,2,19,1,652,"Some","Secondary school completed","Female","18-24","Urban","652"
2,8,1,30,1,652,"Most","University completed","Male","25-34","Urban","652"
2,5,2,40,1,652,"Most","Secondary school completed","Female","35-44","Urban","652"
1,5,2,45,2,626,"Some","Secondary school completed","Female","45-54","Rural","626"
1,5,2,26,2,626,"Some","Secondary school completed","Female","25-34","Rural","626"
1,4,1,35,2,626,"Some","Some secondary schooling","Male","35-44","Rural","626"
3,5,1,43,1,652,"All","Secondary school completed","Male","35-44","Urban","652"
1,5,2,20,2,626,"Some","Secondary school completed","Female","18-24","Rural","626"
3,8,1,55,1,649,"All","University completed","Male","55+","Urban","649"
2,5,2,35,1,652,"Most","Secondary school completed","Female","35-44","Urban","652"
2,4,1,30,1,652,"Most","Some secondary schooling","Male","25-34","Urban","652"
2,4,2,40,1,652,"Most","Some secondary schooling","Female","35-44","Urban","652"
1,1,1,35,2,640,"Some","Informal schooling only","Male","35-44","Rural","640"
2,0,1,35,2,640,"Most","No formal schooling","Male","35-44","Rural","640"
1,3,1,36,2,640,"Some","Primary school completed","Male","35-44","Rural","640"
2,0,2,20,2,640,"Most","No formal schooling","Female","18-24","Rural","640"
1,0,2,37,2,640,"Some","No formal schooling","Female","35-44","Rural","640"
2,6,1,47,2,626,"Most","Post-secondary qualifications","Male","45-54","Rural","626"
1,5,2,25,1,649,"Some","Secondary school completed","Female","25-34","Urban","649"
2,3,1,28,2,626,"Most","Primary school completed","Male","25-34","Rural","626"
1,6,1,20,2,626,"Some","Post-secondary qualifications","Male","18-24","Rural","626"
1,2,2,25,2,640,"Some","Some primary schooling","Female","25-34","Rural","640"
1,4,1,48,1,649,"Some","Some secondary schooling","Male","45-54","Urban","649"
1,7,1,54,1,649,"Some","Some university","Male","55+","Urban","649"
2,0,1,23,2,640,"Most","No formal schooling","Male","18-24","Rural","640"
0,0,2,25,2,640,"None","No formal schooling","Female","25-34","Rural","640"
2,4,2,19,2,626,"Most","Some secondary schooling","Female","18-24","Rural","626"
2,5,1,20,1,652,"Most","Secondary school completed","Male","18-24","Urban","652"
1,5,1,26,1,652,"Some","Secondary school completed","Male","25-34","Urban","652"
1,5,2,48,1,652,"Some","Secondary school completed","Female","45-54","Urban","652"
2,6,2,27,1,649,"Most","Post-secondary qualifications","Female","25-34","Urban","649"
2,8,1,34,1,652,"Most","University completed","Male","35-44","Urban","652"
2,5,2,43,2,626,"Most","Secondary school completed","Female","35-44","Rural","626"
1,0,1,32,2,640,"Some","No formal schooling","Male","25-34","Rural","640"
2,4,2,26,2,626,"Most","Some secondary schooling","Female","25-34","Rural","626"
2,3,2,52,1,649,"Most","Primary school completed","Female","45-54","Urban","649"
3,0,1,22,2,640,"All","No formal schooling","Male","18-24","Rural","640"
2,3,1,27,2,640,"Most","Primary school completed","Male","25-34","Rural","640"
1,4,2,28,2,626,"Some","Some secondary schooling","Female","25-34","Rural","626"
2,0,2,27,2,640,"Most","No formal schooling","Female","25-34","Rural","640"
1,6,1,23,2,626,"Some","Post-secondary qualifications","Male","18-24","Rural","626"
1,5,2,37,1,652,"Some","Secondary school completed","Female","35-44","Urban","652"
1,4,1,40,1,652,"Some","Some secondary schooling","Male","35-44","Urban","652"
0,0,2,27,2,640,"None","No formal schooling","Female","25-34","Rural","640"
2,7,2,21,1,652,"Most","Some university","Female","18-24","Urban","652"
3,5,2,36,1,652,"All","Secondary school completed","Female","35-44","Urban","652"
2,0,2,29,2,640,"Most","No formal schooling","Female","25-34","Rural","640"
2,3,1,55,2,640,"Most","Primary school completed","Male","55+","Rural","640"
3,5,2,29,1,649,"All","Secondary school completed","Female","25-34","Urban","649"
3,6,1,35,1,649,"All","Post-secondary qualifications","Male","35-44","Urban","649"
2,3,1,35,1,650,"Most","Primary school completed","Male","35-44","Urban","650"
2,5,2,30,1,650,"Most","Secondary school completed","Female","25-34","Urban","650"
1,6,2,50,2,649,"Some","Post-secondary qualifications","Female","45-54","Rural","649"
1,4,2,19,2,640,"Some","Some secondary schooling","Female","18-24","Rural","640"
2,0,1,42,2,640,"Most","No formal schooling","Male","35-44","Rural","640"
2,8,1,29,1,626,"Most","University completed","Male","25-34","Urban","626"
1,7,2,21,1,626,"Some","Some university","Female","18-24","Urban","626"
2,8,1,40,1,626,"Most","University completed","Male","35-44","Urban","626"
2,5,1,22,2,650,"Most","Secondary school completed","Male","18-24","Rural","650"
1,5,1,19,2,650,"Some","Secondary school completed","Male","18-24","Rural","650"
0,5,1,40,2,650,"None","Secondary school completed","Male","35-44","Rural","650"
2,9,1,55,1,626,"Most","Post-graduate","Male","55+","Urban","626"
3,4,2,36,2,650,"All","Some secondary schooling","Female","35-44","Rural","650"
2,2,2,52,1,652,"Most","Some primary schooling","Female","45-54","Urban","652"
1,4,1,35,1,652,"Some","Some secondary schooling","Male","35-44","Urban","652"
2,6,1,30,1,652,"Most","Post-secondary qualifications","Male","25-34","Urban","652"
2,8,2,56,1,626,"Most","University completed","Female","55+","Urban","626"
3,5,2,35,1,652,"All","Secondary school completed","Female","35-44","Urban","652"
3,4,2,40,2,650,"All","Some secondary schooling","Female","35-44","Rural","650"
1,5,2,29,2,650,"Some","Secondary school completed","Female","25-34","Rural","650"
1,6,2,40,1,626,"Some","Post-secondary qualifications","Female","35-44","Urban","626"
1,7,1,29,1,626,"Some","Some university","Male","25-34","Urban","626"
2,3,2,22,2,650,"Most","Primary school completed","Female","18-24","Rural","650"
3,4,1,32,1,652,"All","Some secondary schooling","Male","25-34","Urban","652"
1,4,2,37,1,652,"Some","Some secondary schooling","Female","35-44","Urban","652"
1,6,2,28,1,652,"Some","Post-secondary qualifications","Female","25-34","Urban","652"
1,8,1,55,1,652,"Some","University completed","Male","55+","Urban","652"
2,0,2,25,1,626,"Most","No formal schooling","Female","25-34","Urban","626"
1,3,1,43,2,649,"Some","Primary school completed","Male","35-44","Rural","649"
2,0,2,58,2,649,"Most","No formal schooling","Female","55+","Rural","649"
2,6,1,22,2,649,"Most","Post-secondary qualifications","Male","18-24","Rural","649"
2,4,1,54,2,650,"Most","Some secondary schooling","Male","55+","Rural","650"
2,5,2,41,2,649,"Most","Secondary school completed","Female","35-44","Rural","649"
2,5,1,30,1,650,"Most","Secondary school completed","Male","25-34","Urban","650"
2,0,1,27,2,640,"Most","No formal schooling","Male","25-34","Rural","640"
0,3,1,40,2,640,"None","Primary school completed","Male","35-44","Rural","640"
2,0,1,30,2,640,"Most","No formal schooling","Male","25-34","Rural","640"
2,3,2,18,2,640,"Most","Primary school completed","Female","18-24","Rural","640"
1,5,1,32,1,650,"Some","Secondary school completed","Male","25-34","Urban","650"
2,5,1,35,2,649,"Most","Secondary school completed","Male","35-44","Rural","649"
2,1,2,38,2,640,"Most","Informal schooling only","Female","35-44","Rural","640"
2,1,2,22,2,640,"Most","Informal schooling only","Female","18-24","Rural","640"
3,5,2,27,2,649,"All","Secondary school completed","Female","25-34","Rural","649"
2,3,1,25,2,640,"Most","Primary school completed","Male","25-34","Rural","640"
2,0,2,30,2,640,"Most","No formal schooling","Female","25-34","Rural","640"
2,3,2,28,1,650,"Most","Primary school completed","Female","25-34","Urban","650"
3,4,2,35,1,650,"All","Some secondary schooling","Female","35-44","Urban","650"
3,7,1,25,2,649,"All","Some university","Male","25-34","Rural","649"
0,2,1,21,2,640,"None","Some primary schooling","Male","18-24","Rural","640"
2,1,1,38,2,640,"Most","Informal schooling only","Male","35-44","Rural","640"
1,3,1,42,2,640,"Some","Primary school completed","Male","35-44","Rural","640"
2,0,2,24,2,640,"Most","No formal schooling","Female","25-34","Rural","640"
3,5,1,29,1,650,"All","Secondary school completed","Male","25-34","Urban","650"
1,0,2,47,2,640,"Some","No formal schooling","Female","45-54","Rural","640"
2,1,1,24,2,640,"Most","Informal schooling only","Male","25-34","Rural","640"
2,5,1,22,1,650,"Most","Secondary school completed","Male","18-24","Urban","650"
3,4,1,22,1,650,"All","Some secondary schooling","Male","18-24","Urban","650"
3,5,2,23,1,650,"All","Secondary school completed","Female","18-24","Urban","650"
1,3,1,40,1,650,"Some","Primary school completed","Male","35-44","Urban","650"
2,5,1,57,2,625,"Most","Secondary school completed","Male","55+","Rural","625"
1,5,2,20,2,625,"Some","Secondary school completed","Female","18-24","Rural","625"
2,7,1,50,2,625,"Most","Some university","Male","45-54","Rural","625"
2,5,2,36,2,625,"Most","Secondary school completed","Female","35-44","Rural","625"
1,5,2,30,1,650,"Some","Secondary school completed","Female","25-34","Urban","650"
2,5,2,27,1,650,"Most","Secondary school completed","Female","25-34","Urban","650"
3,3,2,27,1,650,"All","Primary school completed","Female","25-34","Urban","650"
2,1,1,37,2,640,"Most","Informal schooling only","Male","35-44","Rural","640"
3,5,2,32,2,625,"All","Secondary school completed","Female","25-34","Rural","625"
2,0,1,59,2,640,"Most","No formal schooling","Male","55+","Rural","640"
2,3,2,25,2,640,"Most","Primary school completed","Female","25-34","Rural","640"
1,4,1,50,2,625,"Some","Some secondary schooling","Male","45-54","Rural","625"
3,6,2,29,2,625,"All","Post-secondary qualifications","Female","25-34","Rural","625"
3,5,1,20,2,625,"All","Secondary school completed","Male","18-24","Rural","625"
3,5,1,30,1,650,"All","Secondary school completed","Male","25-34","Urban","650"
0,0,2,40,2,640,"None","No formal schooling","Female","35-44","Rural","640"
3,5,2,28,1,643,"All","Secondary school completed","Female","25-34","Urban","643"
0,0,2,30,2,640,"None","No formal schooling","Female","25-34","Rural","640"
1,0,2,21,2,640,"Some","No formal schooling","Female","18-24","Rural","640"
2,8,1,52,1,643,"Most","University completed","Male","45-54","Urban","643"
2,2,1,19,2,640,"Most","Some primary schooling","Male","18-24","Rural","640"
1,7,1,47,1,643,"Some","Some university","Male","45-54","Urban","643"
1,6,2,29,1,643,"Some","Post-secondary qualifications","Female","25-34","Urban","643"
1,5,1,32,2,625,"Some","Secondary school completed","Male","25-34","Rural","625"
2,8,2,27,2,625,"Most","University completed","Female","25-34","Rural","625"
1,5,1,46,2,654,"Some","Secondary school completed","Male","45-54","Rural","654"
3,6,1,25,2,654,"All","Post-secondary qualifications","Male","25-34","Rural","654"
1,5,2,24,2,625,"Some","Secondary school completed","Female","25-34","Rural","625"
3,5,1,38,2,625,"All","Secondary school completed","Male","35-44","Rural","625"
0,1,1,28,2,640,"None","Informal schooling only","Male","25-34","Rural","640"
1,0,1,29,2,640,"Some","No formal schooling","Male","25-34","Rural","640"
2,7,2,24,1,643,"Most","Some university","Female","25-34","Urban","643"
2,6,2,39,1,643,"Most","Post-secondary qualifications","Female","35-44","Urban","643"
2,5,2,24,2,625,"Most","Secondary school completed","Female","25-34","Rural","625"
2,2,2,32,2,640,"Most","Some primary schooling","Female","25-34","Rural","640"
3,5,1,54,1,643,"All","Secondary school completed","Male","55+","Urban","643"
3,3,1,47,2,625,"All","Primary school completed","Male","45-54","Rural","625"
3,0,1,40,2,650,"All","No formal schooling","Male","35-44","Rural","650"
1,1,2,48,2,654,"Some","Informal schooling only","Female","45-54","Rural","654"
1,0,1,45,2,650,"Some","No formal schooling","Male","45-54","Rural","650"
1,5,1,52,2,625,"Some","Secondary school completed","Male","45-54","Rural","625"
3,2,1,25,2,650,"All","Some primary schooling","Male","25-34","Rural","650"
2,5,1,23,2,654,"Most","Secondary school completed","Male","18-24","Rural","654"
2,1,2,20,2,640,"Most","Informal schooling only","Female","18-24","Rural","640"
3,0,2,56,2,650,"All","No formal schooling","Female","55+","Rural","650"
2,0,2,35,2,654,"Most","No formal schooling","Female","35-44","Rural","654"
3,4,2,27,2,625,"All","Some secondary schooling","Female","25-34","Rural","625"
1,4,2,20,2,654,"Some","Some secondary schooling","Female","18-24","Rural","654"
2,0,2,19,2,640,"Most","No formal schooling","Female","18-24","Rural","640"
1,5,1,25,1,643,"Some","Secondary school completed","Male","25-34","Urban","643"
